Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,2MCALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,70CMCAL,446.000000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,WX1PA7,162.550000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
3,WX2PA1,162.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
4,WX3PA4,162.475000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
5,WX4PA2,162.425000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
6,WX5PA3,162.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
7,WX6PA5,162.500000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
8,WX7PA6,162.525000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
9,WX8,161.650000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
10,WX9,161.775000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
11,WX10,163.275000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
12,GMRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,GMRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,GMRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,GMRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,GMRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,GMRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,GMRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,GMRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
20,GMRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
21,GMRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
22,GMRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,GMRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
24,GMRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,GMRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
